GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United States,5877248.2,6283757.5,6767179.3,7073801,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14417614,14206231.3,16042964.3,17511744.6
1000,Alabama,80320.5,84866,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,176843.5,175481.9,197820.2,215104.6
2000,Alaska,14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006,39632.5,43412.8
4000,Arizona,103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367,170011.9,184063.5,194363.4,197557.7,190868.2,196474,203580.7,209936.3,216830,226151.5,234755.7,243679.6,259029.1,273816.1,286488.5,291542.5,334350.1,368866.6
5000,Arkansas,44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366,94866.1,98052.5,102359.8,104313.8,105433.5,118796.2,128662.4
6000,California,722322,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
8000,Colorado,96805.1,106130.8,117037.5,123305.4,126789.8,132387.1,140464.2,148825.1,158054.6,167441.9,173274.1,170721.1,175992.9,184841.9,189763.8,198951,210765.5,222464.3,233801.6,247983.2,261807.9,275707,273942.3,314541.5,346723.2
9000,Connecticut,88363.7,94452.9,100901.9,105264,109481.5,115064.8,122069.8,129412.4,136179.5,141740.4,145953.3,142958.8,146714.3,150910.1,154874.3,158507.2,164435.2,168667.3,171683.8,177076.1,183771.4,186538,184319,204252.3,219068.1
10000,Delaware,18613.7,19932.1,21313,22492.1,23667,25210.7,26974.2,28896.5,30342.5,32247.5,32991.9,32599.5,33743.9,35263.8,36028.7,36966.7,38631.3,39570.6,40564,42189.8,44457.3,45855.9,44676.8,50943.7,55535.4
11000,District of Columbia,19936.5,21239,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299,38960.6,40640.2,42193,43503.2,45283.3,47906,49573.5,46913.2,52905,57595.3
12000,Florida,358107.1,380707.7,412229.5,432668.8,447872.2,473974.7,513459.4,557056.5,601060.1,630049.5,639599.5,620446.5,643275.8,673659.9,699466.2,723026.7,763955,804074.9,835530.6,878744.1,929973.5,966780.8,964080.3,1114052.2,1234950.8
13000,Georgia,161380.3,174395,188709.6,197694,205273.8,216655.7,230229.2,247103.8,261997.1,277091.5,282133.9,275032.5,283317.5,296156.1,305937,317022.1,333433.2,346858.4,361258,380330.8,399888.2,415860.9,412232,471227.9,517334.8
15000,Hawaii,27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66783.5,63900.8,71696.3,78713.6
16000,Idaho,22579.8,24178.3,26126.5,27315.3,28411.8,30199.6,32418.9,35258.5,38332.4,41044.6,41871.2,40641.4,41809.5,43554.9,44975.4,47257.8,49478.7,50824.9,53613.5,56744.1,60086.6,62636.7,64146.6,75485,84364.2
17000,Illinois,274303.2,289479.4,311531.8,322195.6,331449.3,345707.9,363646.5,384010.6,403497.1,423685.4,433710.5,424293.3,438819.8,454980.3,465517.9,476304.5,492993.4,507894.4,522413.6,539587.6,562269.9,573954.2,561359.8,627074,683721
18000,Indiana,117579.9,125011.8,133146.5,138169.8,142852.9,149620.7,159441,168731.5,175744.1,182424.5,187273.9,184465.1,190660.5,198049.2,205349.2,210037.4,217279.8,222792.9,230556.9,241847.3,252840.8,259039.6,259287,290016.5,318273.8
19000,Iowa,56464.4,59748.9,63279.6,65420.8,66996.9,70550.3,74931.1,78928.6,83083.9,86433.4,89779.9,89779.6,92935.6,97421.3,100180.8,102664.9,106618.9,108540.1,112218.4,116352.5,119934.4,122945,120916.6,135091.2,145480.9
20000,Kansas,53617.7,57333,61303.2,63683.6,65329.7,68531.2,72552.8,76553.7,81251.6,85824.2,88677.2,86817.3,89031.3,92636.2,94824.3,96405.5,99265.8,101823.5,104334.8,107464.7,111300,114331.6,113231.5,124678.4,135311.8
21000,Kentucky,73276.6,78078,83592.1,86556.6,89874.1,94238,99863.6,105818.8,111311.3,115134.1,119061.4,119046.4,123481.5,128068.7,131199.1,134476.7,138524.8,143701.2,148443,154214.4,161272,165100.4,164458.8,184891.2,199412.3
22000,Louisiana,78749.6,82772.1,87152.6,90725.7,94157.2,99582.7,105278.5,110109.7,116283,123420.1,128797.3,129088.9,134426.9,139821.9,144035.6,148333.2,153367.7,157431.6,161306.7,166452.2,172147.2,176460.2,173941.4,194871.2,207376.7
23000,Maine,26837,28794.2,30892.4,32644,34534.7,36525.6,38696.2,40878.1,42680.5,44182.6,45495.1,45604.6,47264.9,49062.9,49282.6,50464.5,51398.4,52951.5,55482.4,58157.7,61115.1,62865.5,62954.8,71244.8,77286.9
24000,Maryland,120849.4,128874,139847.5,147599.6,154087.8,162642.2,173466.9,185632.3,196854.2,205523.8,211521.7,209436.1,216638.7,225125.8,231048.6,236202.1,243705.6,249981.7,256106.6,263750.7,273861,279180.1,269585.2,299768.1,324574.5
25000,Massachusetts,162978.8,174085.6,188309.9,198306.4,205354.4,217052.4,229676.5,242025.6,253765.3,261860.4,270085.7,267519.7,276970.5,287218.4,295070.2,303703.1,315986.3,327645.5,338935.6,354806.5,369729.9,381767.7,368684.9,414257.6,448337.4
26000,Michigan,202855.9,216134,229632.2,237866,245733.8,254913,266257,276793.6,285254.8,293376,301658.4,296177.6,307993,320415.1,331325.9,341572.6,355375.1,367082.2,381461.5,396468.1,412800.9,423687,414399.6,461918.5,496511.4
27000,Minnesota,113619.5,122542.9,133055.8,139164.2,144907.2,152249.8,161273.5,167954.3,175471.9,181235.3,187892.3,184896.8,191367,199861.6,205669.3,211942.7,219517.6,225990.2,233506.2,243968.6,255563.4,260981.7,249336.4,278984.2,302147.7
28000,Mississippi,44223.9,47202.9,50271.5,52641,55060.4,57833.1,61397.2,65017.7,69149.4,72680.2,75197.1,74237.4,77186.8,80082.1,81853.3,83679.2,85932.3,88020.8,90111.3,92341.8,94495,96100.5,96882.6,108194,116654.2
29000,Missouri,116264.1,123565.6,132088.2,137969.6,143667.6,150360.3,157440,165567.5,171889.2,179924.6,187125.2,184728.4,191635.6,199085,205513.3,209534.9,215540.2,221482.5,227468.9,235234.9,244790.5,250292.5,247702.2,276572.3,300328.4
30000,Montana,17017.7,18108.6,19352,20345,21486,22804.2,24453.1,26254.8,28153,30156.1,31729.6,30980.6,32820.8,34413.4,35462,36679.6,38466.9,39329.3,40114.9,41986.4,44342.6,45766.4,45730,53115.7,58290.9
31000,Nebraska,33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752,75186.4,77805,79902,79234.1,89281.3,97455.4
32000,Nevada,41874.4,46395.2,50853.1,54020.4,57342.3,61582.4,68079.6,74876.1,81040.6,86098.3,87852.2,83578.8,85449.7,88854,91509.3,94912.7,99383.8,103663.4,108477.9,115294.6,122302.4,128046.7,126436.5,145289.4,161819.1
33000,New Hampshire,29629.6,31953,34576.4,36590.7,38488,41132.5,43735.2,46409.1,48795,51242.1,52038.1,51722.7,53357.3,54918.3,56524,58076.5,59367.3,61727.9,63337.2,66704.2,69023.5,71097.1,70800.5,78403.1,84869.2
34000,New Jersey,206219,220351.8,237684.3,250245.6,262635.3,278154.7,294265.6,311008.9,326975.3,340079.3,349924.5,342548.8,352741.4,362084.6,372893.6,381523.2,394640.6,404207.8,415927.6,428802.3,446294.5,463021.9,453151.6,514108,556464.6
35000,New Mexico,32383.8,34289.5,36370.9,37920.9,39536,41854.5,44802,48348.7,51691.5,54730.9,57246.1,56758.5,58776.8,61451,62602.2,63851.9,66245.1,67683.2,69069.9,71126.1,74341.9,75343.4,74209.4,84561.4,91583.8
36000,New York,404980.9,433573.4,466230,485087.9,502975.5,530354.9,562684.8,599438.4,633093.2,665303.1,688749.3,685583.9,713167.9,745100.2,767522.1,795231.1,834805,858787.2,886553.6,924936.8,969165.4,1003302.9,961433.8,1059483.9,1152504.5
37000,North Carolina,155992.9,168402.8,181525.7,188401.9,193989.9,203546,217242.9,233498.5,248355.5,263993,272605.7,269018.7,280867.9,292708.3,303579.9,313671.6,327466.8,340378.4,352946.4,370093,388109.5,405132.5,408183.7,467929.8,511778
38000,North Dakota,12407.9,12999.5,13768.7,14510,15192,16036,17059.4,18124.6,19268.6,20413.5,21436.2,21992.6,23210.5,25631.3,28456.5,30444.7,32237.4,33069.1,32956,33030.2,34336.1,35554.3,35084.4,38281.5,41013
39000,Ohio,230506,244074.9,260381.2,270966.5,280073.8,292806.3,305549.4,319761.2,330574.5,343184.5,349080.4,343501.1,355279.6,369404.2,381767.1,394401.6,406986.6,419081.2,431032.4,447950.5,463218,475838.1,468366.2,520162.4,561567.5
40000,Oklahoma,59559.4,63186.5,67413.9,70504.1,72558.4,76432.6,80535.4,86541.3,92246.7,97558.5,102059.5,100406,105035.7,110491.4,114070.9,117602.1,122262.2,124004,126384.5,130253.9,136007.7,138457.3,137768.3,155213.9,169016.4
41000,Oregon,70845.4,75719.2,80982.4,83983.4,87318.4,91577.9,98004.1,104708.7,111706.8,117601.9,120210.4,117906.7,121721.3,126457,129665.9,133614.5,140520,148092.8,154955.2,164616.9,174082.3,180343,179459,202810.3,221162.1
42000,Pennsylvania,267974.6,284766.6,304664.5,318001.4,329972.2,349799.2,369088.3,388455.6,406055.2,423686,438745.7,435016.9,453398.2,470444.5,480776.1,492004,504907.8,518363.6,529679.4,548260.1,575550.5,590965,574141.6,635949.1,696633.7
44000,Rhode Island,21942.1,23381.7,25334.1,26628,28057.2,29977.2,31565.7,33218,34571.9,35785.7,36327.7,35947.9,36596.5,37655,38060.7,39300.2,40862.3,42056.1,43101.6,44528.9,46506.6,47800.7,47361.2,53435,57771.2
45000,South Carolina,74708.7,80120.3,85734.9,89205.2,92798.8,97641,104869.7,112568.8,119796.4,127725.5,132802.1,131213.5,137523.2,143267.1,146268.9,151499.5,158383.2,164635,171615.5,178743.4,186670.7,194674,195695.6,222946.9,244163.4
46000,South Dakota,13601.5,14515.8,15478.3,16210.3,16925.7,17949.6,19257.4,20635.7,22059.2,23113,24305.1,24461.5,25960.6,26959.6,28256.2,29077,30077.6,31107.4,32326.4,33741.1,35334.2,36488,36651.8,41173.7,44579
47000,Tennessee,110838.2,118130,126062.1,129837.3,134468.3,140450.8,149040.8,158759.9,168002.1,177300.9,181564.3,178900.4,186470.4,194909.6,200595.3,204743.2,213045.3,219728.3,228864.4,239992.1,250276.2,260801.1,261449,297834.4,326338
48000,Texas,403961.3,434253.6,471789.1,498380.3,516406.1,541303.2,575309.8,619901.3,661402.9,702394.8,734122.6,733954.6,771625.4,817807.6,857088,893984.9,947259.9,987452.9,1022736.1,1073168,1124761.1,1168996.3,1176164.4,1343753.1,1473924
49000,Utah,39544.4,41809.6,44950.1,47012.1,49337.7,51981.1,56192.3,60790,65987.7,71323.5,74052.5,72886.9,74728.6,78282.8,82173,85550.9,90645.5,94983.6,101149.4,107602.9,115404.2,121983.4,125532.7,146418.5,162917
50000,Vermont,13526,14474.9,15570.5,16489.8,17271.9,18282.3,19403.9,20536.5,21455,22332.4,23078.8,23089.7,23877.2,25092.6,25712.6,26238.4,27111.7,27492.6,27779.6,28687.9,30274.9,30928.4,30323.7,33123.2,36069.1
51000,Virginia,150505,162716.4,176024.5,184913.4,194876.7,207100.9,223429.3,240687.1,255282.2,268547.9,278381.6,275960.2,287569.7,298041.6,306745.6,313709.5,323397.4,330467.2,339172.4,349392.3,364477.2,375438,370614.4,415582.1,452039.8
53000,Washington,131479.4,141339.1,152295.4,156985.3,162779.9,171974.9,183481.6,195664.6,209686.6,222210.3,232285.5,229607.5,236856.5,247788.1,256777.8,266531.7,279767.5,291926.6,306811.4,325690,345880.5,360564.3,356914.4,403720.9,440420.2
54000,West Virginia,31510.3,33201,35057.4,36407.6,37913.6,39592.6,41954.5,44161.5,46132.8,48124.8,50179.6,51048.4,53259.1,55714.2,57188.1,58309.6,59585.7,61153,62968.6,64022,66466.4,67776.9,66989.9,73693.4,78923.3
55000,Wisconsin,108943.1,116373.8,124865.7,130433.5,135786.6,143467.5,152103.7,160323.9,168429.6,174884,180266,178468.8,184793.5,191591.3,195140.7,199941.2,206949.5,212242,218417.9,227938.3,236881.7,243754.2,238385.3,267489.6,290410.8
56000,Wyoming,9906,10605.6,11358.3,11806.2,12308.2,13098.6,14131,15251.4,16490.2,17943.9,18653.2,18747.7,19193,20319.1,21223.3,21914.2,22984.5,23143.3,23542.4,23897.6,24652.3,25235.7,25579.8,28312.5,30465.8